price,area,city,bedrooms,bathrooms,location,property_type,url,built_in_year,parking,servant_quarters,store_rooms,kitchens,drawing_rooms
10.9 Crore,1 Kanal,Islamabad,5.0,6.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_in_dha_defence_phase_2_1_kanal_house_for_sale-52510497-339-1.html,2025.0,2.0,2.0,2.0,2.0,
4 Crore,7 Marla,Islamabad,4.0,5.0,"Jinnah Gardens Phase 1, Jinnah Gardens",House,https://www.zameen.com/Property/jinnah_gardens_jinnah_gardens_phase_1_masterpiece_living_the_finest_07_marla_designer_villa_in_jinnah_garden_islamabad-54190631-1421-1.html,2026.0,,,,2.0,
85 Lakh,5 Marla,Islamabad,2.0,2.0,"DHA Defence Phase 7, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_7_oleander_b_sector-54254527-22460-1.html,,,0.0,,1.0,
10.5 Crore,1 Kanal,Islamabad,6.0,5.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_aesthetic_design_bungalow_up_for_sale-54255074-339-1.html,2026.0,3.0,,,2.0,
7 Crore,1 Kanal,Islamabad,8.0,7.0,"DHA Phase 4 - Sector A, DHA Defence Phase 4",House,https://www.zameen.com/Property/dha_defence_phase_4_dha_phase_4_-_sector_a_gray_structure_house_is_available_for_sale_in_dha_4-54102108-13956-1.html,2025.0,3.0,,,,
11.5 Crore,1 Kanal,Islamabad,6.0,7.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_beautiful_design_bungalow_up_for_sale-54255049-339-1.html,2026.0,3.0,,,2.0,
2.95 Crore,6.7 Marla,Islamabad,4.0,6.0,"Soan Garden, Islamabad",House,https://www.zameen.com/Property/islamabad_soan_garden_brand_new_double_storey_house_available_for_sale_in_soan_garden_islamabad-51874408-338-1.html,2025.0,2.0,,1.0,1.0,
2.9 Crore,6 Marla,Islamabad,4.0,6.0,"Soan Garden - Block H, Soan Garden",House,https://www.zameen.com/Property/soan_garden_soan_garden_-_block_h_6_marla_brand_new_house_available_for_sale_in_soan_garden_islamabad-53759062-3498-1.html,2025.0,2.0,,1.0,2.0,
2.6 Crore,5 Marla,Islamabad,3.0,4.0,"MPCHS - Block F, MPCHS - Multi Gardens",House,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_f_5_marla_25x50_ultra_luxury_hybrid_unit_house_for_sale_in_mpchs_multi_garden_b17_islamabad-54253369-8527-1.html,2026.0,1.0,,,2.0,
1.9 Crore,5.5 Marla,Islamabad,2.0,2.0,"Zarkon Heights, G-15",House,https://www.zameen.com/Property/g_15_zarkon_heights_2_bed_for_sale_in_zarkon_heights_g15_islambad_block_b_c_d_e_f-54186281-10169-1.html,2026.0,1.0,,1.0,1.0,
5.1 Crore,10 Marla,Islamabad,5.0,6.0,"Top City 1 - Block D, Top City 1",House,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_d_10_marla_brand_new_house_for_sale_in_top_city-1_islamabad-53681427-9233-1.html,,,,,,
10.5 Crore,1 Kanal,Islamabad,6.0,6.0,"MPCHS - Block C, MPCHS - Multi Gardens",House,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_c_1_kanal_50x90_ultra_luxury_designer_corner_house_for_sale_in_block_c_mpchs_multi_garden_b-17_islamabad-54194131-3118-1.html,,3.0,,,2.0,
4 Crore,10 Marla,Islamabad,5.0,6.0,"Top City 1 - Block A, Top City 1",House,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_a_affordable_house_for_sale_in_top_city_1_-_block_a-53648777-9231-1.html,,2.0,1.0,1.0,1.0,
9.3 Crore,14 Marla,Islamabad,8.0,6.0,"G-14/4, G-14",House,https://www.zameen.com/Property/g_14_g-14_4_highly-desirable_prime_location_house_available_in_g-14_4_for_sale-53611689-3346-1.html,2020.0,3.0,1.0,1.0,3.0,
30 Crore,1.3 Kanal,Islamabad,9.0,7.0,"F-11/2, F-11",House,https://www.zameen.com/Property/f_11_f-11_2_f-11_2_brand_new_666_yards_fully-furnished_house_high-end_construction_9_bedrooms_full_basement_unparalleled_luxury_and_sophistication_price_30_crores-52722809-3283-1.html,,,,,,
42 Crore,1.3 Kanal,Islamabad,5.0,7.0,"F-11, Islamabad",House,https://www.zameen.com/Property/islamabad_f-11_f-11_margalla_road_666_yards_newly_built_modern_house_front_open_5_bedrooms_swimming_pool_gymnasium_prime_location_price_42_crores-54210718-163-1.html,,,,,,
1.55 Crore,8 Marla,Islamabad,3.0,3.0,"Oleander Sector - Block A, DHA Valley - Oleander Sector",House,https://www.zameen.com/Property/dha_valley_oleander_sector_oleander_sector_-_block_a_8_marla_dha_home_oleander_a_block-53367072-16476-1.html,,,,,,
1.75 Arab,4 Kanal,Islamabad,,,"F-7, Islamabad",House,https://www.zameen.com/Property/islamabad_f-7_prime_2000_sq_yards_house_with_4_kanal_extra_land_nearly_8_kanal_total_f-7_islamabad-53998467-165-1.html,,,,,,
9.5 Crore,10 Marla,Islamabad,5.0,6.0,"F-11, Islamabad",House,https://www.zameen.com/Property/islamabad_f-11_house_for_sale_in_f-11-53341779-163-1.html,2010.0,2.0,1.0,1.0,2.0,
17 Crore,1 Kanal,Islamabad,8.0,6.0,"E-11, Islamabad",House,https://www.zameen.com/Property/islamabad_e-11_triple_story_e-11_main_double_house_for_sale-53637335-329-1.html,2017.0,5.0,2.0,1.0,2.0,
7.3 Crore,8 Marla,Islamabad,5.0,6.0,"E-11, Islamabad",House,https://www.zameen.com/Property/islamabad_e-11_designer_house_for_sale_e-_11-54206366-329-1.html,2022.0,2.0,2.0,1.0,2.0,
1.7 Crore,8 Marla,Islamabad,3.0,3.0,"DHA Defence Phase 7, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_7_oleander_sector_a-54240781-22460-1.html,2013.0,4.0,,,,
2.5 Crore,10 Marla,Islamabad,5.0,6.0,"Bani Gala, Islamabad",House,https://www.zameen.com/Property/islamabad_bani_gala_10_marla_newly_built_house_for_sale_in_bani_gala-53421452-340-1.html,2025.0,2.0,1.0,1.0,2.0,
2.8 Crore,6 Marla,Islamabad,4.0,6.0,"Soan Garden - Block H, Soan Garden",House,https://www.zameen.com/Property/soan_garden_soan_garden_-_block_h_6_marla_brand_new_double_storey_house_for_sale_in_soan_garden_housing_society_h_block_prime_location_on_islamabad_expressway-53832440-3498-1.html,2025.0,2.0,,1.0,2.0,
24.9 Crore,2.5 Kanal,Islamabad,7.0,6.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_ultra_modern_designer_2_5_kanal_mansion_with_a_quality_construction_wide_street-52366347-339-1.html,2025.0,6.0,2.0,2.0,2.0,
5.5 Crore,10 Marla,Islamabad,5.0,6.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_stunning_designer_a_quality_masterpiece_at_prime_location_of_zaraj-52405866-339-1.html,2025.0,3.0,1.0,2.0,2.0,
10 Crore,1 Kanal,Islamabad,6.0,6.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_luxury_double_unit_designer_kanal_bungalow-52443980-339-1.html,2024.0,3.0,2.0,2.0,2.0,
15.5 Crore,1 Kanal,Islamabad,6.0,6.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_ultra_modern_corner_mansion_with_swimming_pool_and_elevator_a_quality_construction-52629225-339-1.html,2025.0,3.0,2.0,2.0,2.0,
12.49 Crore,1 Kanal,Islamabad,5.0,6.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_ultra_modern_a_kanal_mansion_with_maze-9_theme_lounge_and_aesthetic_designs_and_imported_appliances-53228424-339-1.html,2026.0,3.0,1.0,2.0,2.0,
12.9 Crore,1 Kanal,Islamabad,5.0,6.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_ultra_modern_designer_mansion_at_prime_location_house_for_sale-54066975-339-1.html,2026.0,3.0,1.0,2.0,2.0,
4.95 Crore,10 Marla,Islamabad,6.0,6.0,"Top City 1, Islamabad",House,https://www.zameen.com/Property/islamabad_top_city_1_main_boulevard_house_for_sale-53705640-1383-1.html,2025.0,,1.0,,2.0,
22.25 Crore,1 Kanal,Islamabad,5.0,6.0,"F-8, Islamabad",House,https://www.zameen.com/Property/islamabad_f-8_investor_rate_50x90_house_in_prime_f-8-53612568-166-1.html,,,,,,
41.5 Crore,1 Kanal,Islamabad,6.0,7.0,"F-8, Islamabad",House,https://www.zameen.com/Property/islamabad_f-8_brand_new_triple-storey_designer_house_for_sale_in_f-8-53492540-166-1.html,,,,,2.0,
24 Crore,1 Kanal,Islamabad,4.0,5.0,"F-8, Islamabad",House,https://www.zameen.com/Property/islamabad_f-8_old_house_is_for_sale_in_f-8-53612669-166-1.html,,,,,,
1.59 Crore,8 Marla,Islamabad,3.0,3.0,"Lilly Sector - DHA Homes, DHA Valley - Lilly Sector",House,https://www.zameen.com/Property/dha_valley_lilly_sector_lilly_sector_-_dha_homes_luxury_8_marla_house_for_sale_double_storey_2_terraces_servant_quarter-53443796-16826-1.html,2020.0,2.0,1.0,1.0,1.0,
1.6 Crore,8 Marla,Islamabad,3.0,3.0,"DHA Valley - Lilly Sector, DHA Valley",House,https://www.zameen.com/Property/dha_valley_dha_valley_-_lilly_sector_beautiful_8_marla_double-storey_villa_3_bedrooms_garden_servant_room-53445557-3214-1.html,2020.0,2.0,1.0,1.0,1.0,
3.5 Crore,8 Marla,Islamabad,4.0,5.0,"MPCHS - Block C, MPCHS - Multi Gardens",House,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_c_3060_designer_house_for_sale-53414790-3118-1.html,2025.0,2.0,,,,
21.9 Crore,1.2 Kanal,Islamabad,5.0,6.0,"F-10, Islamabad",House,https://www.zameen.com/Property/islamabad_f-10_f_10_house_available_600_square_yards_with_1_kanal_extra_land_close_and_street-54120823-162-1.html,2000.0,10.0,1.0,2.0,1.0,
1.4 Arab,5 Kanal,Islamabad,10.0,6.0,"F-6/3, F-6",House,https://www.zameen.com/Property/f_6_f-6_3_f_6_2_proper_corner_house_available_2500_square_yards_close_and_street_near_to_margla_road-54022921-3301-1.html,2000.0,,2.0,2.0,2.0,
15 Crore,1.6 Kanal,Islamabad,6.0,6.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_32_marla_ultra_luxury_royal-themed_house_for_sale_in_dha_phase_2_islamabad_where_elegance_meets_grandeur_a_true_palace_for_modern_royalty-54151833-339-1.html,,3.0,2.0,2.0,2.0,
9 Crore,1 Kanal,Islamabad,6.0,6.0,"Top City 1 - Block B, Top City 1",House,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_b_buying_a_house_in_top_city_1_-_block_b_islamabad-54218677-9230-1.html,,,,,1.0,
67 Crore,1.9 Kanal,Islamabad,5.0,5.0,"E-7, Islamabad",House,https://www.zameen.com/Property/islamabad_e-7_prime_location_5_bedroom_liveable_house-54252047-343-1.html,1983.0,5.0,2.0,,2.0,
4 Crore,5 Marla,Islamabad,6.0,6.0,"MPCHS - Multi Gardens, B-17",House,https://www.zameen.com/Property/b_17_mpchs_-_multi_gardens_corner_5_marla_designer_house_for_sale_in_fmc_adjacent_to_b17_c1_block-52984851-3115-1.html,2025.0,5.0,2.0,2.0,2.0,
17 Crore,2 Kanal,Islamabad,6.0,6.0,"Eighteen, Kashmir Highway",House,https://www.zameen.com/Property/kashmir_highway_eighteen_2_kanal_luxury_premium_villa_in_eighteen_islamabad_available_for_sale-54155421-12602-1.html,2025.0,,,,,
7.5 Crore,1 Kanal,Islamabad,5.0,5.0,"Eighteen, Kashmir Highway",House,https://www.zameen.com/Property/kashmir_highway_eighteen_1_kanal_luxury_premium_villa_in_eighteen_islamabad_for_sale-54155365-12602-1.html,2025.0,3.0,1.0,1.0,2.0,
13.5 Crore,1 Kanal,Islamabad,6.0,6.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_aesthetic_design_corner_bungalow_on_prime_location_up_for_sale-54254980-339-1.html,2026.0,3.0,,,2.0,
11.25 Crore,1 Kanal,Islamabad,5.0,6.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_designer_single_unit_5_bed_prime_location_mansion-54108880-339-1.html,2026.0,3.0,2.0,2.0,2.0,
14 Crore,1 Kanal,Islamabad,5.0,6.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_beautiful_house_for_sale_in_dha_phase_2_islamabad-54150559-339-1.html,2025.0,1.0,,1.0,1.0,
8.5 Crore,1 Kanal,Islamabad,6.0,6.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_brand_new_double_unit_designer_6_bed_house_at_prime_location-54108915-339-1.html,2026.0,3.0,2.0,2.0,2.0,
6.95 Crore,10 Marla,Islamabad,4.0,4.0,"Top City 1 - Block D, Top City 1",House,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_d_get_in_touch_now_to_buy_a_10_marla_house_in_top_city_1_-_block_d-54226149-9233-1.html,,,,,,
13 Crore,16 Marla,Islamabad,9.0,7.0,"E-11, Islamabad",House,https://www.zameen.com/Property/islamabad_e-11_for_sale_40x90_renovated_triple_storey_9_beds_e_11_2-54183372-329-1.html,,,,,,
3.15 Crore,7 Marla,Islamabad,4.0,5.0,"Jinnah Gardens Phase 1, Jinnah Gardens",House,https://www.zameen.com/Property/jinnah_gardens_jinnah_gardens_phase_1_jinnah_garden_phase_1_7_marla_house_for_sale-54052944-1421-1.html,2025.0,1.0,,,,
1.75 Arab,8 Kanal,Islamabad,8.0,6.0,"F-7, Islamabad",House,https://www.zameen.com/Property/islamabad_f-7_f_7_main_margla_road_house_available_2000_square_yards_100_180_with_4_kanal_extra_land-53938009-165-1.html,2020.0,,3.0,2.0,2.0,
4.25 Crore,8 Marla,Islamabad,6.0,6.0,"PHAF Officers Residencia, Kuri Road",House,https://www.zameen.com/Property/kuri_road_phaf_officers_residencia_deziner_house_available_for_sale_in_pha_officer_residenshia_kurii_road_islamabad-54181129-13099-1.html,,,,,,
4.85 Crore,10 Marla,Islamabad,5.0,5.0,"Top City 1, Islamabad",House,https://www.zameen.com/Property/islamabad_top_city_1_house_of_10_marla_is_available_for_sale_in_top_city_1-54218681-1383-1.html,,,,1.0,1.0,
32 Crore,5 Kanal,Islamabad,9.0,7.0,"Gulberg Greens - Block B, Gulberg Greens",House,https://www.zameen.com/Property/gulberg_greens_gulberg_greens_-_block_b_block_b_luxurious_5_kanal_furnished_farmhouse_for_sale_heighted_prime_location-53113687-8314-1.html,2023.0,,,,,
4.8 Crore,13.3 Marla,Islamabad,4.0,5.0,"DHA Phase 5 - Sector F, DHA Defence Phase 5",House,https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_-_sector_f_excelleny_house_for_sale_size_5_1_marla-54119211-8836-1.html,2026.0,1.0,1.0,1.0,2.0,
12 Crore,1 Kanal,Islamabad,6.0,6.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_beautiful_one_kanal_house_for_sale_sector_g_dha_2_islamabad-54161765-339-1.html,2016.0,1.0,2.0,1.0,2.0,
9.15 Crore,1 Kanal,Islamabad,7.0,7.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_beautiful_house_for_sale_in_dha_phase_2_islamabad-54162412-339-1.html,2026.0,3.0,2.0,2.0,2.0,
1.5 Crore,5 Marla,Islamabad,3.0,4.0,"Park View City - Overseas Block, Park View City",House,https://www.zameen.com/Property/park_view_city_park_view_city_-_overseas_block_05_marla_gray_structure_house_for_sale_in_park_view_city_islamabad-53852444-19666-1.html,2026.0,2.0,1.0,1.0,1.0,
15 Crore,12 Kanal,Islamabad,,,"Gulberg Greens, Gulberg",House,https://www.zameen.com/Property/gulberg_gulberg_greens_luxury_10_kanal_farm_house_for_sale_in_gulberg_greens_elite_living_near_gulberg_lake_best_investment_opportunity-54192220-8312-1.html,,,,,,
9.9 Crore,1 Kanal,Islamabad,5.0,6.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_luxury_home_dha_phase_2-54137804-339-1.html,2026.0,3.0,2.0,2.0,2.0,
3.15 Crore,5 Marla,Islamabad,5.0,6.0,"Faisal Margalla City, B-17",House,https://www.zameen.com/Property/b_17_faisal_margalla_city_5_marla_triple_storey_double_unit_house_for_sale_in_faisal_margala_city_b-17_islamabad-54254898-13424-1.html,2026.0,1.0,1.0,1.0,2.0,
5.8 Crore,13 Marla,Islamabad,5.0,5.0,"DHA Defence Phase 3, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_3_dha_phase_3_brand_new_house_for_sale_brand_new_a_quality-54192046-8412-1.html,2026.0,,,,,
8.5 Crore,1 Kanal,Islamabad,8.0,7.0,"Top City 1 - Block B, Top City 1",House,https://www.zameen.com/Property/top_city_1_top_city_1_-_block_b_20_marla_brand_new_house_for_sale_in_topcity-1_islamabad-53751527-9230-1.html,,,1.0,1.0,2.0,
14.9 Crore,1 Kanal,Islamabad,5.0,6.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_dha_2_one_kanal_brand_new_corner_house_on_main_boulevard_with_swimming_pool-53966465-339-1.html,2026.0,3.0,2.0,2.0,2.0,
13.8 Crore,1 Kanal,Islamabad,5.0,6.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_modern_luxury_house_for_sale_in_dha_phase_2_islamabad-54104923-339-1.html,2026.0,2.0,2.0,2.0,2.0,
4.25 Crore,8 Marla,Islamabad,5.0,7.0,"Bahria Enclave - Sector J, Bahria Enclave",House,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_j_luxurious_8_marla_triple-sided_open_home_with_huge_lawn_1_5_kanal_in_bahria_enclave_sector_j_-_pkr_4_25_crore-54204276-11981-1.html,2026.0,,1.0,2.0,2.0,
7.7 Crore,1 Kanal,Islamabad,8.0,6.0,"DHA Defence Phase 2, DHA Defence",House,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_20_marla_corner_double_unit_house_for_sale_in_dha_phase_2_in_investor_price_dha_phase_2_islamabad-54249584-339-1.html,2016.0,8.0,3.0,4.0,3.0,
5.25 Crore,6.7 Marla,Islamabad,5.0,6.0,"I-10, Islamabad",House,https://www.zameen.com/Property/islamabad_i-10_i-10_2_25x60_brand_new_house_for_sale_out_class_construction-53607151-173-1.html,2025.0,,,,1.0,
4.4 Crore,7 Marla,Islamabad,5.0,5.0,"Gulberg Residencia - Block I, Gulberg Residencia",House,https://www.zameen.com/Property/gulberg_residencia_gulberg_residencia_-_block_i_brand_new_7_marla_luxury_double_story_house_for_sale_in_gulberg_residencia-54164037-9119-1.html,,2.0,1.0,1.0,2.0,
2.32 Crore,5 Marla,Islamabad,4.0,4.0,"MPCHS - Block C1, MPCHS - Multi Gardens",House,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_c1_5_marla_house_for_sale_available_in_b-17-54152881-12607-1.html,2020.0,1.0,1.0,1.0,1.0,
1.4 Crore,5 Marla,Islamabad,3.0,4.0,"Bani Gala, Islamabad",House,https://www.zameen.com/Property/islamabad_bani_gala_brand_new_1_5_storey_house_for_sale_in_bani_gala-53774818-340-1.html,2026.0,1.0,,,2.0,
3.85 Crore,11 Marla,Islamabad,3.0,4.0,"DHA Phase 1 - Defence Villas, DHA Phase 1 - Sector F",House,https://www.zameen.com/Property/dha_phase_1_sector_f_dha_phase_1_-_defence_villas_dha_phase_1_sector_f_defence_villa_for_sale-52093852-3075-1.html,2007.0,4.0,2.0,2.0,2.0,
60 Crore,10 Kanal,Islamabad,11.0,7.0,"Gulberg Greens - Block E, Gulberg Greens",House,https://www.zameen.com/Property/gulberg_greens_gulberg_greens_-_block_e_block_a_luxurious_10_kanal_corner_farmhouse_for_sale_prime_location-53113692-8317-1.html,2017.0,,,,,
3.8 Crore,7 Marla,Islamabad,4.0,4.0,"Gulberg Residencia - Block L, Gulberg Residencia",House,https://www.zameen.com/Property/gulberg_residencia_gulberg_residencia_-_block_l_house_for_sale_corner_7_marla_block_l-54254563-9122-1.html,2026.0,2.0,2.0,2.0,2.0,
6.5 Crore,10 Marla,Islamabad,7.0,7.0,"Gulberg Residencia - Block I, Gulberg Residencia",House,https://www.zameen.com/Property/gulberg_residencia_gulberg_residencia_-_block_i_i_block_10_marla_prime_location_brand_new_house_for_sale_gulberg_residencia_block_i-54158832-9119-1.html,2022.0,2.0,1.0,1.0,1.0,
12 Crore,10.6 Marla,Islamabad,6.0,6.0,"G-10/2, G-10",House,https://www.zameen.com/Property/g_10_g-10_2_brand_new_house_available_for_sale_in_sector_g-10_2_islamabad-54032130-3325-1.html,2015.0,,,,,
45 Crore,5 Kanal,Islamabad,6.0,6.0,"Gulberg Greens, Gulberg",House,https://www.zameen.com/Property/gulberg_gulberg_greens_fully_furnished_5_kanal_luxury_farmhouse_for_sale_gulberg_green-54227704-8312-1.html,,,,,,
15 Crore,1 Kanal,Islamabad,9.0,6.0,"E-11/3, E-11",House,https://www.zameen.com/Property/e_11_e-11_3_traple_story_house_for_sale_e_11_3-52770423-3238-1.html,2025.0,6.0,3.0,3.0,3.0,
7.2 Crore,8 Marla,Islamabad,5.0,5.0,"E-11, Islamabad",House,https://www.zameen.com/Property/islamabad_e-11_brand_new_house_for_sale_in_e-11_2-53117154-329-1.html,2025.0,2.0,1.0,1.0,2.0,
27.5 Crore,1.2 Kanal,Islamabad,6.0,6.0,"F-8/3, F-8",House,https://www.zameen.com/Property/f_8_f-8_3_investor_price_house_for_sale_in_f-8-53436899-3316-1.html,2010.0,4.0,3.0,1.0,2.0,
22.5 Crore,1.1 Kanal,Islamabad,3.0,3.0,"F-6, Islamabad",House,https://www.zameen.com/Property/islamabad_f-6_demolish_able_house_for_sale_in_f-6-53768754-164-1.html,2000.0,4.0,1.0,1.0,1.0,
11.5 Crore,10 Marla,Islamabad,6.0,6.0,"D-12, Islamabad",House,https://www.zameen.com/Property/islamabad_d-12_brand_new_house_for_sale_in_d-12-53974465-160-1.html,2025.0,2.0,2.0,1.0,2.0,
5.5 Crore,6 Marla,Islamabad,4.0,4.0,"E-11, Islamabad",House,https://www.zameen.com/Property/islamabad_e-11_double_story_house_for_sale_in_e-11-54005063-329-1.html,2020.0,1.0,1.0,1.0,2.0,
9 Crore,16 Marla,Islamabad,6.0,6.0,"E-11/2, E-11",House,https://www.zameen.com/Property/e_11_e-11_2_investor_price_house_for_sale_in_e-11_2-54112023-3233-1.html,2016.0,3.0,2.0,2.0,2.0,
5.25 Crore,5 Marla,Islamabad,5.0,6.0,"G-14/4, G-14",House,https://www.zameen.com/Property/g_14_g-14_4_5_marla_brand-new_luxury_house_for_sale_in_g-14_4_islamabad-54127121-3346-1.html,,,,,,
3.2 Crore,7 Marla,Islamabad,4.0,6.0,"Bahria Enclave - Sector N, Bahria Enclave",House,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_n_sector_n_5_marla_brand_new_corner_house_with_2_marla_extraland_excellent_construction_quality_sun_facing_house_available_for_sale-54185105-11975-1.html,2024.0,1.0,1.0,1.0,2.0,
6.35 Crore,10 Marla,Islamabad,6.0,6.0,"Top City 1, Islamabad",House,https://www.zameen.com/Property/islamabad_top_city_1_corner_10_marla_semi_furnished_house_for_sale-54225061-1383-1.html,2026.0,2.0,1.0,1.0,2.0,
29.5 Crore,1 Kanal,Islamabad,4.0,5.0,"F-7, Islamabad",House,https://www.zameen.com/Property/islamabad_f-7_50x90_prime_location_old_house_is_available_for_sale-54000891-165-1.html,,,,,,
58 Crore,1.3 Kanal,Islamabad,6.0,7.0,"F-7, Islamabad",House,https://www.zameen.com/Property/islamabad_f-7_offer_offer_6_months_time_modern_brand-new_house_is_for_sale-53604121-165-1.html,,,2.0,,3.0,
38.5 Crore,17.8 Marla,Islamabad,7.0,7.0,"F-6, Islamabad",House,https://www.zameen.com/Property/islamabad_f-6_elegant_house_is_for_sale_in_f-6-53318282-164-1.html,2025.0,,,2.0,,
